id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
49597213,"Marina Garden Apt, Private Garage, 30 Day Minimum",290158702,Fiona,,Marina,37.79809,-122.43464,Entire home/apt,175,30,1,2021-09-11,0.35,1,292,1,
49615500,Comfy room w/direct entrance and private bathroom,65978352,Caleb,,Excelsior,37.72225,-122.41058,Private room,70,1,54,2021-11-20,13.73,1,67,54,pending
49631521,Lovely 5-bedroom serviced apartment with pool,228914442,Julian (Host),,Downtown/Civic Center,37.786244102456834,-122.41786827637974,Entire home/apt,240,30,0,,,1,365,0,
49634091,Peaceful Garden Sanctuary in the Marina District,399069771,Marina Motel,,Marina,37.799881,-122.435287,Entire home/apt,129,1,206,2021-12-03,31.37,12,357,206,Licensed hotel/B&B
49634141,Marina's Little European Paradise in the Courtyard,399069771,Marina Motel,,Marina,37.799881,-122.435287,Entire home/apt,170,1,162,2021-12-03,162,12,360,162,Licensed hotel/B&B
49634202,Little Garden Oasis in The Busy City of SF,399069771,Marina Motel,,Marina,37.799881,-122.435287,Entire home/apt,186,1,25,2021-11-01,17.44,12,359,25,Licensed hotel/B&B
49634228,Breathtaking Flower Filled Courtyard in the Marina,399069771,Marina Motel,,Marina,37.799881,-122.435287,Entire home/apt,147,1,104,2021-12-02,21.97,12,334,104,Licensed hotel/B&B
49634300,Astounding Location in the Heart of the Marina,399069771,Marina Motel,,Marina,37.799881,-122.435287,Entire home/apt,142,1,118,2021-12-03,32.18,12,358,118,Licensed hotel/B&B
49634330,Ambient & Cheerful Street Facing Family Motel,399069771,Marina Motel,,Marina,37.799881,-122.435287,Private room,130,1,24,2021-11-22,5.85,12,332,24,Licensed hotel/B&B
49634358,Tranquil room in the Marina District,399069771,Marina Motel,,Marina,37.799881,-122.435287,Private room,147,1,52,2021-11-18,11.73,12,362,52,Licensed hotel/B&B
49634378,Bountiful Charming Attached Room in the Courtyard,399069771,Marina Motel,,Marina,37.799881,-122.435287,Entire home/apt,230,1,16,2021-11-17,3.45,12,324,16,Licensed hotel/B&B
49634404,Marina Safe Haven King Suite Close To Presidio,399069771,Marina Motel,,Marina,37.799881,-122.435287,Entire home/apt,194,1,1,2021-05-30,0.16,12,323,1,Licensed hotel/B&B
